%------------------------------------------------------------------------------
% [system] : GpsTools
% [module] : receiver definitions
% [format] : - 1 line = 1 record
%            - % ...  = comments
%            - fields separated by comma(,)
% [version]: $Revision: 16 $ $Date: 2008-12-12 15:49:30 +0900 (é‡‘, 12 12 2008) $
% [history]: 06/07/06  0.1  separated as csv text
%            08/12/01  0.2  update IGS station list (30 Nov 2008)
%------------------------------------------------------------------------------

% id, group, name, comment

ABPO,  IGS,  Antananarivo,
ADE1,  IGS,  Salisbury,
ADE2,  IGS,  Salisbury,
ADIS,  IGS,  Addis Ababa,
AIRA,  IGS,  Aira,
AJAC,  IGS,  Ajaccio,
ALBH,  IGS,  Victoria,
ALGO,  IGS,  ALGONQUIN PARK,
ALIC,  IGS,  Alice Springs,
ALRT,  IGS,  Alert (Ellesmere Island),
AMC2,  IGS,  Colorado Springs,
AMMN,  IGS,  Amman,
ANKR,  IGS,  Ankara,
ANTC,  IGS,  Los Angeles,
AREQ,  IGS,  Arequipa,
ARTU,  IGS,  Arti,
ASC1,  IGS,  Ascension Island,
ASPA,  IGS,  Pago Pago,
AUCK,  IGS,  Whangaparaoa Peninsula,
AZU1,  IGS,  Azusa,
BAIE,  IGS,  BAIE COMEAU,
BAKE,  IGS,  BAKER LAKE,
BAKO,  IGS,  Cibinong,
BAN2,  IGS,  Bangalore,
BARH,  IGS,  Bar Harbor,
BDOS,  IGS,  Bridgetown,
BHR1,  IGS,  Manama,
BHR2,  IGS,  Manama,
BILI,  IGS,  Bilibino,
BILL,  IGS,  Temecula,
BJFS,  IGS,  Fangshan,
BLYT,  IGS,  Blythe,
BOGI,  IGS,  Borowa Gora,
BOGT,  IGS,  Bogota,
BOR1,  IGS,  Borowiec,
BRAN,  IGS,  Burbank,
BRAZ,  IGS,  Brasilia,
BREW,  IGS,  Brewster,
BRFT,  IGS,  Eusebio,
BRMU,  IGS,  Bermuda,
BRST,  IGS,  Brest,
BRUS,  IGS,  Brussels,
BUCU,  IGS,  Bucuresti,
BUE1,  IGS,  San Martin,
BUE2,  IGS,  San Martin,
BZRG,  IGS,  Bolzano - Bozen,
CAGL,  IGS,  Cagliari,
CAGS,  IGS,  Gatineau,
CAGZ,  IGS,  Capoterra,
CAS1,  IGS,  Casey,
CASA,  IGS,  Mammoth Lakes,
CCJM,  IGS,  Ogasawara,
CEDU,  IGS,  Ceduna,
CFAG,  IGS,  Caucete,
CHAN,  IGS,  CHANGCHUN,
CHAT,  IGS,  Waitangi,
CHIL,  IGS,  San Gabriel Mountains,
CHPI,  IGS,  Cachoeira Paulista,
CHUM,  IGS,  Chumysh,
CHUR,  IGS,  CHURCHILL,
CHWK,  IGS,  Chilliwack,
CIC1,  IGS,  Ensenada,
CIT1,  IGS,  Pasadena,
CLAR,  IGS,  Claremont,
CMP9,  IGS,  Sylmar,
CNMR,  IGS,  Saipan,
COCO,  IGS,  Cocos (Keeling) Island,
CONT,  IGS,  Concepcion,
CONZ,  IGS,  Concepcion,
COPO,  IGS,  Copiapo,
CORD,  IGS,  Cordoba,
COSO,  IGS,  Coso Junction,
COYQ,  IGS,  Coyhaique,
CRAO,  IGS,  Simeiz,
CRFP,  IGS,  Yucaipa,
CRO1,  IGS,  Christiansted,
CSN1,  IGS,  Northridge,
CUSV,  IGS,  Patumwan,
DAEJ,  IGS,  Daejeon,
DAKA,  IGS,  Dakar,
DARR,  IGS,  Darwin,
DARW,  IGS,  Darwin,
DAV1,  IGS,  Davis,
DAVR,  IGS,  Davis,
DGAR,  IGS,  Diego Garcia Island,
DHLG,  IGS,  Durmid Hill,
DLFT,  IGS,  Delft,
DRAG,  IGS,  Metzoki dragot,
DRAO,  IGS,  Penticton,
DUBO,  IGS,  Lac du Bonnet,
DUBR,  IGS,  Dubrovnik,
DUM1,  IGS,  Antarctic base of "Dumont d'Urville",
DUND,  IGS,  Dunedin,
DYR2,  IGS,  Diyarbakir,
EBRE,  IGS,  Roquetes,
EIL1,  IGS,  Fairbanks,
EIL2,  IGS,  Fairbanks,
EPRT,  IGS,  Eastport,
ESCU,  IGS,  Escuminac,
ESTI,  IGS,  Esteli,
FAA1,  IGS,  Faaa,
FAIR,  IGS,  Fairbanks,
FALE,  IGS,  Faleolo,
FFMJ,  IGS,  Frankfurt / Main,
FLIN,  IGS,  CFS Flin Flon,
GANP,  IGS,  Ganovce,
GENO,  IGS,  Genova,
GLPS,  IGS,  Puerto Ayora,
GLSV,  IGS,  Kiev,
GMAS,  IGS,  Maspalomas,
GMSD,  IGS,  Nakatane town,
GODE,  IGS,  Greenbelt,
